codaz;lat;lon;nord;est;hsize
196BG031/1;45,77994598;9,641248678;5069812;1549849;2
196BG039/1;45,78086662;9,632705025;5069909;1549184;1
196BG044/1;45,76356792;9,627985153;5068066;1548835;0
197BG002/1;45,78467548;9,74591562;5070408;1557981;8
197BG003/1;45,78594797;9,745392264;5070549;1557939;1
197BG007/1;45,78556939;9,745477274;5070507;1557946;0
198BG004/2;45,67007003;9,716380349;5057654;1555799;2
198BG009/2;45,66415201;9,734122265;5057009;1557187;2
198BG024/1;45,6345729;9,749773694;5053734;1558437;2
198BG026/2;45,67525045;9,738234579;5058245;1557496;2
198BG027/5;45,63431712;9,748974833;5053705;1558375;1
198BG028/1;45,64002505;9,741852523;5054334;1557814;168
198BG029/1;45,65924354;9,744339468;5056471;1557988;2
198BG030/1;45,6405478;9,741743934;5054392;1557805;58
198BG031/4;45,63704628;9,744546145;5054005;1558027;38
198BG032/1;45,67452675;9,740189449;5058166;1557649;3
198BG038/1;45,67062865;9,713409012;5057714;1555567;327
198BG039/1;45,6594127;9,744624091;5056490;1558010;3
198BG043/1;45,65966696;9,744280896;5056518;1557983;3
198BG044/1;45,6732517;9,728502201;5058016;1556740;5
198BG050/1;45,67772449;9,709993838;5058500;1555294;3
198BG051/2;45,6826041;9,754767593;5059074;1558776;7
198BG052/1;45,66123055;9,741901258;5056690;1557796;0
198BG053/1;45,65739214;9,742530871;5056264;1557849;2
198BG054/1;45,63853181;9,748620352;5054173;1558343;2
198BG056/1;45,66637763;9,742110404;5057262;1557807;2
198BG063/1;45,63901015;9,751167247;5054228;1558541;7
198BG067/1;45,68005263;9,713374587;5058761;1555555;0
198BG069/4;45,63944477;9,749402364;5054275;1558403;4
198BG071/1;45,66175339;9,741779797;5056748;1557786;1
198BG072/3;45,66145614;9,741814383;5056715;1557789;2
199BG011/1;45,88660301;9,721115271;5081715;1555951;25
199BG012/1;45,88676272;9,743954667;5081749;1557723;13
199BG015/1;45,88446927;9,74508394;5081495;1557813;88
199BG017/3;45,87985189;9,74234192;5080980;1557605;24
199BG019/2;45,87882679;9,738024339;5080863;1557271;0
199BG020/3;45,88549105;9,741162075;5081612;1557537;10
199BG021/1;45,87691717;9,74243173;5080654;1557615;48
199BG024/3;45,86298648;9,730948567;5079098;1556738;9
199BG035/3;45,86080328;9,73174442;5078856;1556802;0
199BG037/1;45,86980004;9,71955819;5079847;1555847;20
199BG044/2;45,88544748;9,72593317;5081590;1556326;11
199BG046/2;45,86431014;9,720930281;5079238;1555959;0
199BG054/5;45,86907166;9,72798769;5079772;1556502;3
199BG058/2;45,88680615;9,74695813;5081756;1557956;7
199BG074/1;45,88564546;9,72451811;5081611;1556216;41
199BG074/2;45,88564546;9,72451811;5081611;1556216;3
199BG085/4;45,8595103;9,719611226;5078785;1555864;6
200BG003/3;45,78048313;10,02664174;5070184;1579809;3
200BG006/1;45,78619537;10,03696113;5070829;1580603;1
200BG008/1;45,77994515;10,02540986;5070123;1579714;7
200BG009/2;45,78018617;10,02563296;5070150;1579731;6
200BG011/4;45,78994858;10,02498851;5071234;1579667;1
200BG020/1;45,78731314;10,02980319;5070946;1580045;4
200BG022/2;45,78548509;10,02890762;5070742;1579978;2
200BG024/4;45,78350008;10,00210095;5070495;1577897;3
200BG040/1;45,77905258;10,03158065;5070030;1580195;0
200BG056/1;45,7785397;10,01547964;5069957;1578944;0
200BG066/1;45,77895719;10,0159551;5070086;1578984;0
200BG068/5;45,78922376;10,0203228;5071231;1579309;2
200BG070/3;45,78513062;9,9987005;5070755;1577634;2
200BG073/1;45,79698931;10,04520884;5072118;1581232;7
200BG080/1;45,78508566;10,00246944;5070678;1577952;0
200BG084/1;;;;;2
200BG089/1;45,79158422;10,02802186;5071500;1579904;1
201BG001/4;45,87730109;9,98788382;5080903;1576663;1
202BG001/4;45,75138134;9,643878818;5066640;1550079;1
202BG009/2;45,74665269;9,658685568;5066124;1551235;3
202BG011/1;45,73892571;9,633992577;5065250;1549321;2
202BG013/4;45,74936057;9,668218134;5066431;1551974;4
202BG016/1;45,74906181;9,645009226;5066383;1550169;9
202BG017/1;45,7430211;9,64364139;5065711;1550068;0
202BG018/1;45,73584405;9,631361407;5064906;1549119;7
202BG019/1;45,73748829;9,631881206;5065089;1549158;0
202BG020/9;45,7443811;9,6370495;5065858;1549554;0
202BG021/1;45,74933814;9,668976383;5066429;1552033;4
202BG022/5;45,73163937;9,623410003;5064434;1548504;69
202BG023/5;45,74600889;9,662624626;5066055;1551542;7
202BG025/3;45,74759664;9,665098855;5066233;1551733;0
202BG029/2;45,74823556;9,66511929;5066304;1551734;1
202BG033/1;45,74780443;9,652464011;5066248;1550750;5
202BG035/1;45,73694004;9,633366018;5065029;1549274;6
202BG038/1;45,74462414;9,663945191;5065902;1551646;0
202BG046/2;45,75222844;9,656015624;5066823;1551025;3
202BG047/1;45,74474832;9,646990709;5065905;1550327;52
202BG047/3;45,74474832;9,646990709;5065905;1550327;15
202BG048/1;45,7428624;9,6494242;5065697;1550518;6
202BG050/1;45,75144834;9,6447667;5066648;1550148;1
202BG052/1;45,73914056;9,637439843;5065276;1549589;1
202BG053/4;45,74765332;9,657175973;5066316;1551119;5
202BG054/2;45,74111194;9,63415869;5065493;1549332;0
202BG060/3;45,74879573;9,664753113;5066366;1551705;4
202BG063/1;45,74358899;9,651437977;5065779;1550674;1
202BG064/5;45,74104901;9,65017445;5065496;1550578;7
202BG065/1;45,73673378;9,629970413;5065004;1549010;2
202BG068/3;45,74460244;9,66147675;5065898;1551454;1
202BG072/2;45,7476439;9,652205026;5066230;1550730;4
202BG076/5;45,74887057;9,664265469;5066374;1551667;0
202BG076/4;45,74887057;9,664265469;5066374;1551667;8
202BG084/2;45,7389519;9,65198585;5065346;1550724;0
202BG087/1;45,73845906;9,63374308;5065198;1549302;0
202BG088/1;45,74697502;9,66209611;5066162;1551500;1
202BG097/1;45,74732993;9,65202139;5066195;1550716;0
202BG098/2;45,74628662;9,66304966;5066168;1551578;0
202BG101/1;45,74014199;9,64024057;5065389;1549806;1
202BG104/1;45,74901542;9,668753977;5066393;1552016;1
202BG105/3;45,74253676;9,64334018;5065657;1550045;4
202BG109/1;45,7475031;9,653218995;5066215;1550809;9
202BG117/1;45,73826381;9,65717311;5065191;1551125;1
202BG118/1;45,73540866;9,65594432;5064873;1551032;0
202BG125/1;45,7513032;9,660733;5066642;1551390;1
202BG134/1;45,73857173;9,65684252;5065225;1551099;0
202BG136/1;45,73816921;9,66109236;5065183;1551430;1
202BG136/5;45,73816921;9,66109236;5065183;1551430;0
202BG159/2;45,75530534;9,664100701;5067170;1551651;0
203BG002/1;45,71221148;9,495526678;5062206;1538567;2
203BG005/4;45,70707964;9,514211601;5061645;1540025;0
203BG006/1;45,71786089;9,512550056;5062842;1539888;0
203BG007/1;45,71400728;9,516844678;5062416;1540225;0
203BG009/1;45,69913405;9,519739135;5060765;1540461;67
203BG013/1;45,71543972;9,516549505;5062575;1540201;0
203BG017/1;45,70545857;9,494002623;5061455;1538453;168
203BG022/1;45,71129573;9,494991849;5062104;1538526;4
203BG028/1;45,7090463;9,492736646;5061853;1538352;0
203BG034/1;45,69908547;9,51054189;5060755;1539745;1
204BG003/1;45,81912743;10,02106967;5074472;1579321;5
204BG003/3;45,81912743;10,02106967;5074472;1579321;15
204BG005/2;45,81230582;10,01896298;5073712;1579167;7
204BG009/1;45,81759956;10,03682277;5074318;1580547;25
204BG011/1;45,80463251;10,02252941;5072863;1579455;14
204BG014/1;45,84115774;10,01229081;5076911;1578608;29
204BG015/3;45,81521448;10,02784578;5074044;1579853;3
204BG017/1;45,81022764;10,02690466;5073489;1579787;1
204BG020/1;45,81131085;10,02755521;5073610;1579836;4
204BG021/1;45,82020406;10,03147749;5074602;1580128;2
204BG026/1;45,8161209;10,0400776;5074157;1580802;13
204BG028/2;45,83842136;10,01637465;5076611;1578929;73
204BG032/1;45,83961113;10,0141557;5076741;1578755;20
204BG037/1;45,81846656;10,05225968;5074430;1581745;12
204BG038/3;45,81671142;10,03751172;5074302;1580605;1
204BG046/8;45,81799529;10,0535895;5074379;1581849;1
